"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Tocantins";"Roubo de veículo";"06/2015";54
"Tocantins";"Roubo de veículo";"07/2015";53
"Tocantins";"Roubo de veículo";"08/2015";25
"Tocantins";"Roubo de veículo";"09/2015";64
"Tocantins";"Roubo de veículo";"10/2015";66
"Tocantins";"Roubo de veículo";"11/2015";50
"Tocantins";"Roubo de veículo";"12/2015";55
"Tocantins";"Roubo de veículo";"01/2016";80
"Tocantins";"Roubo de veículo";"02/2016";65
"Tocantins";"Roubo de veículo";"03/2016";94
"Tocantins";"Roubo de veículo";"04/2016";90
"Tocantins";"Roubo de veículo";"05/2016";76
"Tocantins";"Roubo de veículo";"06/2016";87
"Tocantins";"Roubo de veículo";"07/2016";90
"Tocantins";"Roubo de veículo";"08/2016";69
"Tocantins";"Roubo de veículo";"09/2016";78
"Tocantins";"Roubo de veículo";"10/2016";73
"Tocantins";"Roubo de veículo";"11/2016";65
"Tocantins";"Roubo de veículo";"12/2016";63
"Tocantins";"Roubo de veículo";"01/2017";76
"Tocantins";"Roubo de veículo";"02/2017";35
"Tocantins";"Roubo de veículo";"03/2017";61
"Tocantins";"Roubo de veículo";"04/2017";54
"Tocantins";"Roubo de veículo";"05/2017";62
"Tocantins";"Roubo de veículo";"06/2017";46
"Tocantins";"Roubo de veículo";"07/2017";43
"Tocantins";"Roubo de veículo";"08/2017";86
"Tocantins";"Roubo de veículo";"09/2017";81
"Tocantins";"Roubo de veículo";"10/2017";103
"Tocantins";"Roubo de veículo";"11/2017";97
"Tocantins";"Roubo de veículo";"12/2017";71
"Tocantins";"Roubo de veículo";"01/2018";93
"Tocantins";"Roubo de veículo";"02/2018";73
"Tocantins";"Roubo de veículo";"03/2018";103
"Tocantins";"Roubo de veículo";"04/2018";95
"Tocantins";"Roubo de veículo";"05/2018";85
"Tocantins";"Roubo de veículo";"06/2018";81
"Tocantins";"Roubo de veículo";"07/2018";83
"Tocantins";"Roubo de veículo";"08/2018";73
"Tocantins";"Roubo de veículo";"09/2018";82
"Tocantins";"Roubo de veículo";"10/2018";123
"Tocantins";"Roubo de veículo";"11/2018";127
"Tocantins";"Roubo de veículo";"12/2018";73
"Tocantins";"Roubo seguido de morte (latrocínio)";"01/2015";1
"Tocantins";"Roubo seguido de morte (latrocínio)";"02/2015";0
"Tocantins";"Roubo seguido de morte (latrocínio)";"03/2015";1
"Tocantins";"Roubo seguido de morte (latrocínio)";"04/2015";0
"Tocantins";"Roubo seguido de morte (latrocínio)";"05/2015";0
"Tocantins";"Roubo seguido de morte (latrocínio)";"06/2015";1
"Tocantins";"Roubo seguido de morte (latrocínio)";"07/2015";1
"Tocantins";"Roubo seguido de morte (latrocínio)";"08/2015";1
"Tocantins";"Roubo seguido de morte (latrocínio)";"09/2015";0
"Tocantins";"Roubo seguido de morte (latrocínio)";"10/2015";1
"Tocantins";"Roubo seguido de morte (latrocínio)";"11/2015";0
"Tocantins";"Roubo seguido de morte (latrocínio)";"12/2015";2
"Tocantins";"Roubo seguido de morte (latrocínio)";"01/2016";1
"Tocantins";"Roubo seguido de morte (latrocínio)";"02/2016";2
"Tocantins";"Roubo seguido de morte (latrocínio)";"03/2016";2
"Tocantins";"Roubo seguido de morte (latrocínio)";"04/2016";0
"Tocantins";"Roubo seguido de morte (latrocínio)";"05/2016";1
"Tocantins";"Roubo seguido de morte (latrocínio)";"06/2016";0
"Tocantins";"Roubo seguido de morte (latrocínio)";"07/2016";2
"Tocantins";"Roubo seguido de morte (latrocínio)";"08/2016";2
"Tocantins";"Roubo seguido de morte (latrocínio)";"09/2016";0
"Tocantins";"Roubo seguido de morte (latrocínio)";"10/2016";0
"Tocantins";"Roubo seguido de morte (latrocínio)";"11/2016";1
"Tocantins";"Roubo seguido de morte (latrocínio)";"12/2016";3
"Tocantins";"Roubo seguido de morte (latrocínio)";"01/2017";0
"Tocantins";"Roubo seguido de morte (latrocínio)";"02/2017";1
"Tocantins";"Roubo seguido de morte (latrocínio)";"03/2017";1
"Tocantins";"Roubo seguido de morte (latrocínio)";"04/2017";3
"Tocantins";"Roubo seguido de morte (latrocínio)";"05/2017";1
"Tocantins";"Roubo seguido de morte (latrocínio)";"06/2017";1
"Tocantins";"Roubo seguido de morte (latrocínio)";"07/2017";0
"Tocantins";"Roubo seguido de morte (latrocínio)";"08/2017";1
"Tocantins";"Roubo seguido de morte (latrocínio)";"09/2017";2
"Tocantins";"Roubo seguido de morte (latrocínio)";"10/2017";0
"Tocantins";"Roubo seguido de morte (latrocínio)";"11/2017";1
"Tocantins";"Roubo seguido de morte (latrocínio)";"12/2017";0
