"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Alagoas";"Roubo de carga";"07/2016";8
"Alagoas";"Roubo de carga";"08/2016";6
"Alagoas";"Roubo de carga";"09/2016";6
"Alagoas";"Roubo de carga";"10/2016";18
"Alagoas";"Roubo de carga";"11/2016";11
"Alagoas";"Roubo de carga";"12/2016";18
"Alagoas";"Roubo de carga";"01/2017";6
"Alagoas";"Roubo de carga";"02/2017";7
"Alagoas";"Roubo de carga";"03/2017";6
"Alagoas";"Roubo de carga";"04/2017";6
"Alagoas";"Roubo de carga";"05/2017";5
"Alagoas";"Roubo de carga";"06/2017";2
"Alagoas";"Roubo de carga";"07/2017";7
"Alagoas";"Roubo de carga";"08/2017";4
"Alagoas";"Roubo de carga";"09/2017";8
"Alagoas";"Roubo de carga";"10/2017";3
"Alagoas";"Roubo de carga";"11/2017";13
"Alagoas";"Roubo de carga";"12/2017";10
"Alagoas";"Roubo de carga";"01/2018";12
"Alagoas";"Roubo de carga";"02/2018";9
"Alagoas";"Roubo de carga";"03/2018";9
"Alagoas";"Roubo de carga";"04/2018";7
"Alagoas";"Roubo de carga";"05/2018";7
"Alagoas";"Roubo de carga";"06/2018";11
"Alagoas";"Roubo de carga";"07/2018";5
"Alagoas";"Roubo de carga";"08/2018";5
"Alagoas";"Roubo de carga";"09/2018";8
"Alagoas";"Roubo de carga";"10/2018";4
"Alagoas";"Roubo de carga";"11/2018";3
"Alagoas";"Roubo de carga";"12/2018";4
"Alagoas";"Roubo de veículo";"01/2015";297
"Alagoas";"Roubo de veículo";"02/2015";208
"Alagoas";"Roubo de veículo";"03/2015";271
"Alagoas";"Roubo de veículo";"04/2015";269
"Alagoas";"Roubo de veículo";"05/2015";233
"Alagoas";"Roubo de veículo";"06/2015";234
"Alagoas";"Roubo de veículo";"07/2015";328
"Alagoas";"Roubo de veículo";"08/2015";237
"Alagoas";"Roubo de veículo";"09/2015";218
"Alagoas";"Roubo de veículo";"10/2015";237
"Alagoas";"Roubo de veículo";"11/2015";292
"Alagoas";"Roubo de veículo";"12/2015";334
"Alagoas";"Roubo de veículo";"01/2016";321
"Alagoas";"Roubo de veículo";"02/2016";306
"Alagoas";"Roubo de veículo";"03/2016";325
"Alagoas";"Roubo de veículo";"04/2016";291
"Alagoas";"Roubo de veículo";"05/2016";317
"Alagoas";"Roubo de veículo";"06/2016";321
"Alagoas";"Roubo de veículo";"07/2016";336
"Alagoas";"Roubo de veículo";"08/2016";328
"Alagoas";"Roubo de veículo";"09/2016";299
"Alagoas";"Roubo de veículo";"10/2016";382
"Alagoas";"Roubo de veículo";"11/2016";354
"Alagoas";"Roubo de veículo";"12/2016";312
