"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Maranhão";"Tentativa de homicídio";"09/2016";109
"Maranhão";"Estupro";"10/2016";96
"Maranhão";"Furto de veículo";"10/2016";282
"Maranhão";"Homicídio doloso";"10/2016";162
"Maranhão";"Lesão corporal seguida de morte";"10/2016";4
"Maranhão";"Roubo a instituição financeira";"10/2016";12
"Maranhão";"Roubo de carga";"10/2016";7
"Maranhão";"Roubo de veículo";"10/2016";388
"Maranhão";"Roubo seguido de morte (latrocínio)";"10/2016";5
"Maranhão";"Tentativa de homicídio";"10/2016";99
"Maranhão";"Estupro";"11/2016";106
"Maranhão";"Furto de veículo";"11/2016";258
"Maranhão";"Homicídio doloso";"11/2016";179
"Maranhão";"Lesão corporal seguida de morte";"11/2016";1
"Maranhão";"Roubo a instituição financeira";"11/2016";4
"Maranhão";"Roubo de carga";"11/2016";0
"Maranhão";"Roubo de veículo";"11/2016";405
"Maranhão";"Roubo seguido de morte (latrocínio)";"11/2016";9
"Maranhão";"Tentativa de homicídio";"11/2016";104
"Maranhão";"Estupro";"12/2016";80
"Maranhão";"Furto de veículo";"12/2016";297
"Maranhão";"Homicídio doloso";"12/2016";169
"Maranhão";"Lesão corporal seguida de morte";"12/2016";7
"Maranhão";"Roubo a instituição financeira";"12/2016";2
"Maranhão";"Roubo de carga";"12/2016";5
"Maranhão";"Roubo de veículo";"12/2016";446
"Maranhão";"Roubo seguido de morte (latrocínio)";"12/2016";5
"Maranhão";"Tentativa de homicídio";"12/2016";102
"Maranhão";"Estupro";"01/2017";95
"Maranhão";"Furto de veículo";"01/2017";317
"Maranhão";"Homicídio doloso";"01/2017";173
"Maranhão";"Lesão corporal seguida de morte";"01/2017";3
"Maranhão";"Roubo a instituição financeira";"01/2017";3
"Maranhão";"Roubo de carga";"01/2017";4
"Maranhão";"Roubo de veículo";"01/2017";424
"Maranhão";"Roubo seguido de morte (latrocínio)";"01/2017";9
"Maranhão";"Tentativa de homicídio";"01/2017";95
"Maranhão";"Estupro";"02/2017";57
"Maranhão";"Furto de veículo";"02/2017";293
"Maranhão";"Homicídio doloso";"02/2017";160
"Maranhão";"Lesão corporal seguida de morte";"02/2017";1
"Maranhão";"Roubo a instituição financeira";"02/2017";8
"Maranhão";"Roubo de carga";"02/2017";3
"Maranhão";"Roubo de veículo";"02/2017";351
"Maranhão";"Roubo seguido de morte (latrocínio)";"02/2017";13
"Maranhão";"Tentativa de homicídio";"02/2017";92
"Maranhão";"Estupro";"03/2017";82
"Maranhão";"Furto de veículo";"03/2017";336
"Maranhão";"Homicídio doloso";"03/2017";169
"Maranhão";"Lesão corporal seguida de morte";"03/2017";4
"Maranhão";"Roubo a instituição financeira";"03/2017";9
"Maranhão";"Roubo de carga";"03/2017";3
"Maranhão";"Roubo de veículo";"03/2017";449
"Maranhão";"Roubo seguido de morte (latrocínio)";"03/2017";8
"Maranhão";"Tentativa de homicídio";"03/2017";94
"Maranhão";"Estupro";"04/2017";102
"Maranhão";"Furto de veículo";"04/2017";257
"Maranhão";"Homicídio doloso";"04/2017";153
"Maranhão";"Lesão corporal seguida de morte";"04/2017";3
"Maranhão";"Roubo a instituição financeira";"04/2017";1
"Maranhão";"Roubo de carga";"04/2017";6
"Maranhão";"Roubo de veículo";"04/2017";424
"Maranhão";"Roubo seguido de morte (latrocínio)";"04/2017";5
"Maranhão";"Tentativa de homicídio";"04/2017";93
"Maranhão";"Estupro";"05/2017";103
"Maranhão";"Furto de veículo";"05/2017";309
"Maranhão";"Homicídio doloso";"05/2017";136
"Maranhão";"Lesão corporal seguida de morte";"05/2017";3
"Maranhão";"Roubo a instituição financeira";"05/2017";5
"Maranhão";"Roubo de carga";"05/2017";5
"Maranhão";"Roubo de veículo";"05/2017";470
"Maranhão";"Roubo seguido de morte (latrocínio)";"05/2017";7
"Maranhão";"Tentativa de homicídio";"05/2017";95
"Maranhão";"Estupro";"06/2017";85
"Maranhão";"Furto de veículo";"06/2017";293
"Maranhão";"Homicídio doloso";"06/2017";150
"Maranhão";"Lesão corporal seguida de morte";"06/2017";2
"Maranhão";"Roubo a instituição financeira";"06/2017";13
"Maranhão";"Roubo de carga";"06/2017";8
"Maranhão";"Roubo de veículo";"06/2017";368
"Maranhão";"Roubo seguido de morte (latrocínio)";"06/2017";9
"Maranhão";"Tentativa de homicídio";"06/2017";87
"Maranhão";"Estupro";"07/2017";96
"Maranhão";"Furto de veículo";"07/2017";247
"Maranhão";"Homicídio doloso";"07/2017";135
"Maranhão";"Lesão corporal seguida de morte";"07/2017";2
"Maranhão";"Roubo a instituição financeira";"07/2017";4
"Maranhão";"Roubo de carga";"07/2017";6
"Maranhão";"Roubo de veículo";"07/2017";331
"Maranhão";"Roubo seguido de morte (latrocínio)";"07/2017";11
"Maranhão";"Tentativa de homicídio";"07/2017";89
"Maranhão";"Estupro";"08/2017";109
"Maranhão";"Furto de veículo";"08/2017";192
"Maranhão";"Homicídio doloso";"08/2017";126
"Maranhão";"Lesão corporal seguida de morte";"08/2017";2
"Maranhão";"Roubo a instituição financeira";"08/2017";2
"Maranhão";"Roubo de carga";"08/2017";2
"Maranhão";"Roubo de veículo";"08/2017";304
"Maranhão";"Roubo seguido de morte (latrocínio)";"08/2017";11
"Maranhão";"Tentativa de homicídio";"08/2017";66
"Maranhão";"Estupro";"09/2017";104
"Maranhão";"Furto de veículo";"09/2017";194
"Maranhão";"Homicídio doloso";"09/2017";137
"Maranhão";"Lesão corporal seguida de morte";"09/2017";3
"Maranhão";"Roubo a instituição financeira";"09/2017";3
"Maranhão";"Roubo de carga";"09/2017";4
"Maranhão";"Roubo de veículo";"09/2017";353
"Maranhão";"Roubo seguido de morte (latrocínio)";"09/2017";3
"Maranhão";"Tentativa de homicídio";"09/2017";90
"Maranhão";"Estupro";"10/2017";121
"Maranhão";"Furto de veículo";"10/2017";234
"Maranhão";"Homicídio doloso";"10/2017";176
"Maranhão";"Lesão corporal seguida de morte";"10/2017";4
"Maranhão";"Roubo a instituição financeira";"10/2017";8
"Maranhão";"Roubo de carga";"10/2017";5
"Maranhão";"Roubo de veículo";"10/2017";369
"Maranhão";"Roubo seguido de morte (latrocínio)";"10/2017";5
"Maranhão";"Tentativa de homicídio";"10/2017";83
"Maranhão";"Estupro";"11/2017";137
"Maranhão";"Furto de veículo";"11/2017";228
"Maranhão";"Homicídio doloso";"11/2017";156
"Maranhão";"Lesão corporal seguida de morte";"11/2017";3
"Maranhão";"Roubo a instituição financeira";"11/2017";11
"Maranhão";"Roubo de carga";"11/2017";2
"Maranhão";"Roubo de veículo";"11/2017";353
"Maranhão";"Roubo seguido de morte (latrocínio)";"11/2017";5
"Maranhão";"Tentativa de homicídio";"11/2017";97
"Maranhão";"Estupro";"12/2017";108
"Maranhão";"Furto de veículo";"12/2017";230
"Maranhão";"Homicídio doloso";"12/2017";149
"Maranhão";"Lesão corporal seguida de morte";"12/2017";2
"Maranhão";"Roubo a instituição financeira";"12/2017";7
"Maranhão";"Roubo de carga";"12/2017";9
"Maranhão";"Roubo de veículo";"12/2017";281
"Maranhão";"Roubo seguido de morte (latrocínio)";"12/2017";11
"Maranhão";"Tentativa de homicídio";"12/2017";92
"Maranhão";"Estupro";"01/2018";92
"Maranhão";"Furto de veículo";"01/2018";263
"Maranhão";"Homicídio doloso";"01/2018";158
"Maranhão";"Lesão corporal seguida de morte";"01/2018";2
"Maranhão";"Roubo a instituição financeira";"01/2018";7
"Maranhão";"Roubo de carga";"01/2018";2
"Maranhão";"Roubo de veículo";"01/2018";340
"Maranhão";"Roubo seguido de morte (latrocínio)";"01/2018";6
"Maranhão";"Tentativa de homicídio";"01/2018";92
"Maranhão";"Estupro";"02/2018";84
"Maranhão";"Furto de veículo";"02/2018";277
"Maranhão";"Homicídio doloso";"02/2018";125
"Maranhão";"Lesão corporal seguida de morte";"02/2018";2
"Maranhão";"Roubo a instituição financeira";"02/2018";2
"Maranhão";"Roubo de carga";"02/2018";4
"Maranhão";"Roubo de veículo";"02/2018";276
"Maranhão";"Roubo seguido de morte (latrocínio)";"02/2018";5
"Maranhão";"Tentativa de homicídio";"02/2018";87
"Maranhão";"Estupro";"03/2018";93
"Maranhão";"Furto de veículo";"03/2018";221
"Maranhão";"Homicídio doloso";"03/2018";139
"Maranhão";"Lesão corporal seguida de morte";"03/2018";2
"Maranhão";"Roubo a instituição financeira";"03/2018";5
"Maranhão";"Roubo de carga";"03/2018";1
"Maranhão";"Roubo de veículo";"03/2018";372
"Maranhão";"Roubo seguido de morte (latrocínio)";"03/2018";11
"Maranhão";"Tentativa de homicídio";"03/2018";85
"Maranhão";"Estupro";"04/2018";84
"Maranhão";"Furto de veículo";"04/2018";214
"Maranhão";"Homicídio doloso";"04/2018";116
"Maranhão";"Lesão corporal seguida de morte";"04/2018";0
"Maranhão";"Roubo a instituição financeira";"04/2018";1
"Maranhão";"Roubo de carga";"04/2018";3
"Maranhão";"Roubo de veículo";"04/2018";373
"Maranhão";"Roubo seguido de morte (latrocínio)";"04/2018";6
"Maranhão";"Tentativa de homicídio";"04/2018";83
"Maranhão";"Estupro";"05/2018";107
"Maranhão";"Furto de veículo";"05/2018";205
"Maranhão";"Homicídio doloso";"05/2018";130
"Maranhão";"Lesão corporal seguida de morte";"05/2018";0
"Maranhão";"Roubo a instituição financeira";"05/2018";1
"Maranhão";"Roubo de carga";"05/2018";5
"Maranhão";"Roubo de veículo";"05/2018";388
"Maranhão";"Roubo seguido de morte (latrocínio)";"05/2018";8
"Maranhão";"Tentativa de homicídio";"05/2018";92
"Maranhão";"Estupro";"06/2018";98
"Maranhão";"Furto de veículo";"06/2018";231
"Maranhão";"Homicídio doloso";"06/2018";148
"Maranhão";"Lesão corporal seguida de morte";"06/2018";2
"Maranhão";"Roubo a instituição financeira";"06/2018";5
"Maranhão";"Roubo de carga";"06/2018";2
"Maranhão";"Roubo de veículo";"06/2018";358
"Maranhão";"Roubo seguido de morte (latrocínio)";"06/2018";4
"Maranhão";"Tentativa de homicídio";"06/2018";97
"Maranhão";"Estupro";"07/2018";88
"Maranhão";"Furto de veículo";"07/2018";260
"Maranhão";"Homicídio doloso";"07/2018";120
"Maranhão";"Lesão corporal seguida de morte";"07/2018";2
"Maranhão";"Roubo a instituição financeira";"07/2018";4
"Maranhão";"Roubo de carga";"07/2018";6
"Maranhão";"Roubo de veículo";"07/2018";349
"Maranhão";"Roubo seguido de morte (latrocínio)";"07/2018";4
"Maranhão";"Tentativa de homicídio";"07/2018";89
"Maranhão";"Estupro";"08/2018";115
"Maranhão";"Furto de veículo";"08/2018";244
"Maranhão";"Homicídio doloso";"08/2018";136
"Maranhão";"Lesão corporal seguida de morte";"08/2018";0
"Maranhão";"Roubo a instituição financeira";"08/2018";3
"Maranhão";"Roubo de carga";"08/2018";4
"Maranhão";"Roubo de veículo";"08/2018";363
"Maranhão";"Roubo seguido de morte (latrocínio)";"08/2018";5
"Maranhão";"Tentativa de homicídio";"08/2018";99
"Maranhão";"Estupro";"09/2018";131
