"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Goiás";"Lesão corporal seguida de morte";"05/2017";3
"Goiás";"Lesão corporal seguida de morte";"06/2017";3
"Goiás";"Lesão corporal seguida de morte";"07/2017";6
"Goiás";"Lesão corporal seguida de morte";"08/2017";3
"Goiás";"Lesão corporal seguida de morte";"09/2017";5
"Goiás";"Lesão corporal seguida de morte";"10/2017";7
"Goiás";"Lesão corporal seguida de morte";"11/2017";4
"Goiás";"Lesão corporal seguida de morte";"12/2017";0
"Goiás";"Lesão corporal seguida de morte";"01/2018";6
"Goiás";"Lesão corporal seguida de morte";"02/2018";5
"Goiás";"Lesão corporal seguida de morte";"03/2018";2
"Goiás";"Lesão corporal seguida de morte";"04/2018";0
"Goiás";"Lesão corporal seguida de morte";"05/2018";9
"Goiás";"Lesão corporal seguida de morte";"06/2018";5
"Goiás";"Lesão corporal seguida de morte";"07/2018";11
"Goiás";"Lesão corporal seguida de morte";"08/2018";5
"Goiás";"Lesão corporal seguida de morte";"09/2018";6
"Goiás";"Lesão corporal seguida de morte";"10/2018";8
"Goiás";"Lesão corporal seguida de morte";"11/2018";4
"Goiás";"Lesão corporal seguida de morte";"12/2018";3
"Goiás";"Roubo a instituição financeira";"01/2015";3
"Goiás";"Roubo a instituição financeira";"02/2015";6
"Goiás";"Roubo a instituição financeira";"03/2015";13
"Goiás";"Roubo a instituição financeira";"04/2015";6
"Goiás";"Roubo a instituição financeira";"05/2015";5
"Goiás";"Roubo a instituição financeira";"06/2015";6
"Goiás";"Roubo a instituição financeira";"07/2015";3
"Goiás";"Roubo a instituição financeira";"08/2015";6
"Goiás";"Roubo a instituição financeira";"09/2015";7
"Goiás";"Roubo a instituição financeira";"10/2015";11
"Goiás";"Roubo a instituição financeira";"11/2015";13
"Goiás";"Roubo a instituição financeira";"12/2015";8
"Goiás";"Roubo a instituição financeira";"01/2016";17
"Goiás";"Roubo a instituição financeira";"02/2016";9
"Goiás";"Roubo a instituição financeira";"03/2016";14
"Goiás";"Roubo a instituição financeira";"04/2016";4
"Goiás";"Roubo a instituição financeira";"05/2016";7
"Goiás";"Roubo a instituição financeira";"06/2016";10
"Goiás";"Roubo a instituição financeira";"07/2016";5
"Goiás";"Roubo a instituição financeira";"08/2016";10
"Goiás";"Roubo a instituição financeira";"09/2016";10
"Goiás";"Roubo a instituição financeira";"10/2016";7
"Goiás";"Roubo a instituição financeira";"11/2016";9
"Goiás";"Roubo a instituição financeira";"12/2016";6
"Goiás";"Roubo a instituição financeira";"01/2017";0
"Goiás";"Roubo a instituição financeira";"02/2017";4
"Goiás";"Roubo a instituição financeira";"03/2017";1
"Goiás";"Roubo a instituição financeira";"04/2017";2
"Goiás";"Roubo a instituição financeira";"05/2017";7
"Goiás";"Roubo a instituição financeira";"06/2017";7
"Goiás";"Roubo a instituição financeira";"07/2017";5
"Goiás";"Roubo a instituição financeira";"08/2017";3
"Goiás";"Roubo a instituição financeira";"09/2017";5
"Goiás";"Roubo a instituição financeira";"10/2017";4
"Goiás";"Roubo a instituição financeira";"11/2017";3
"Goiás";"Roubo a instituição financeira";"12/2017";4
"Goiás";"Roubo a instituição financeira";"01/2018";6
"Goiás";"Roubo a instituição financeira";"02/2018";2
"Goiás";"Roubo a instituição financeira";"03/2018";2
"Goiás";"Roubo a instituição financeira";"04/2018";5
"Goiás";"Roubo a instituição financeira";"05/2018";2
"Goiás";"Roubo a instituição financeira";"06/2018";2
"Goiás";"Roubo a instituição financeira";"07/2018";0
"Goiás";"Roubo a instituição financeira";"08/2018";2
"Goiás";"Roubo a instituição financeira";"09/2018";2
"Goiás";"Roubo a instituição financeira";"10/2018";1
"Goiás";"Roubo a instituição financeira";"11/2018";2
"Goiás";"Roubo a instituição financeira";"12/2018";4
"Goiás";"Roubo de carga";"01/2015";29
"Goiás";"Roubo de carga";"02/2015";34
"Goiás";"Roubo de carga";"03/2015";31
"Goiás";"Roubo de carga";"04/2015";27
"Goiás";"Roubo de carga";"05/2015";32
"Goiás";"Roubo de carga";"06/2015";40
"Goiás";"Roubo de carga";"07/2015";37
"Goiás";"Roubo de carga";"08/2015";41
"Goiás";"Roubo de carga";"09/2015";42
"Goiás";"Roubo de carga";"10/2015";44
"Goiás";"Roubo de carga";"11/2015";48
"Goiás";"Roubo de carga";"12/2015";47
"Goiás";"Roubo de carga";"01/2016";39
"Goiás";"Roubo de carga";"02/2016";27
"Goiás";"Roubo de carga";"03/2016";34
"Goiás";"Roubo de carga";"04/2016";44
"Goiás";"Roubo de carga";"05/2016";41
"Goiás";"Roubo de carga";"06/2016";73
"Goiás";"Roubo de carga";"07/2016";49
"Goiás";"Roubo de carga";"08/2016";64
"Goiás";"Roubo de carga";"09/2016";45
"Goiás";"Roubo de carga";"10/2016";68
"Goiás";"Roubo de carga";"11/2016";54
"Goiás";"Roubo de carga";"12/2016";62
"Goiás";"Roubo de carga";"01/2017";44
"Goiás";"Roubo de carga";"02/2017";50
"Goiás";"Roubo de carga";"03/2017";29
"Goiás";"Roubo de carga";"04/2017";23
"Goiás";"Roubo de carga";"05/2017";48
"Goiás";"Roubo de carga";"06/2017";35
"Goiás";"Roubo de carga";"07/2017";47
"Goiás";"Roubo de carga";"08/2017";40
"Goiás";"Roubo de carga";"09/2017";37
"Goiás";"Roubo de carga";"10/2017";40
"Goiás";"Roubo de carga";"11/2017";42
"Goiás";"Roubo de carga";"12/2017";39
"Goiás";"Roubo de carga";"01/2018";37
"Goiás";"Roubo de carga";"02/2018";43
"Goiás";"Roubo de carga";"03/2018";39
"Goiás";"Roubo de carga";"04/2018";39
"Goiás";"Roubo de carga";"05/2018";29
"Goiás";"Roubo de carga";"06/2018";40
"Goiás";"Roubo de carga";"07/2018";28
"Goiás";"Roubo de carga";"08/2018";29
"Goiás";"Roubo de carga";"09/2018";27
"Goiás";"Roubo de carga";"10/2018";37
"Goiás";"Roubo de carga";"11/2018";34
"Goiás";"Roubo de carga";"12/2018";18
"Goiás";"Roubo de veículo";"01/2015";741
"Goiás";"Roubo de veículo";"02/2015";663
"Goiás";"Roubo de veículo";"03/2015";811
"Goiás";"Roubo de veículo";"04/2015";810
"Goiás";"Roubo de veículo";"05/2015";802
"Goiás";"Roubo de veículo";"06/2015";687
"Goiás";"Roubo de veículo";"07/2015";753
"Goiás";"Roubo de veículo";"08/2015";815
"Goiás";"Roubo de veículo";"09/2015";832
"Goiás";"Roubo de veículo";"10/2015";830
"Goiás";"Roubo de veículo";"11/2015";884
"Goiás";"Roubo de veículo";"12/2015";926
"Goiás";"Roubo de veículo";"01/2016";1049
"Goiás";"Roubo de veículo";"02/2016";904
"Goiás";"Roubo de veículo";"03/2016";861
"Goiás";"Roubo de veículo";"04/2016";1485
"Goiás";"Roubo de veículo";"05/2016";1375
"Goiás";"Roubo de veículo";"06/2016";1371
"Goiás";"Roubo de veículo";"07/2016";1431
"Goiás";"Roubo de veículo";"08/2016";1311
"Goiás";"Roubo de veículo";"09/2016";1295
"Goiás";"Roubo de veículo";"10/2016";1462
