"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Mato Grosso do Sul";"Homicídio Doloso";"06/2014";"Sexo NI";2
"Mato Grosso do Sul";"Homicídio Doloso";"06/2015";"Feminino";4
"Mato Grosso do Sul";"Homicídio Doloso";"06/2015";"Masculino";41
"Mato Grosso do Sul";"Homicídio Doloso";"06/2016";"Feminino";6
"Mato Grosso do Sul";"Homicídio Doloso";"06/2016";"Masculino";33
"Mato Grosso do Sul";"Homicídio Doloso";"06/2016";"Sexo NI";3
"Mato Grosso do Sul";"Homicídio Doloso";"06/2017";"Feminino";6
"Mato Grosso do Sul";"Homicídio Doloso";"06/2017";"Masculino";31
"Mato Grosso do Sul";"Homicídio Doloso";"06/2018";"Feminino";2
"Mato Grosso do Sul";"Homicídio Doloso";"06/2018";"Masculino";27
"Mato Grosso do Sul";"Homicídio Doloso";"06/2018";"Sexo NI";4
"Mato Grosso do Sul";"Homicídio Doloso";"07/2012";"Feminino";4
"Mato Grosso do Sul";"Homicídio Doloso";"07/2012";"Masculino";40
"Mato Grosso do Sul";"Homicídio Doloso";"07/2012";"Sexo NI";2
"Mato Grosso do Sul";"Homicídio Doloso";"07/2013";"Feminino";6
"Mato Grosso do Sul";"Homicídio Doloso";"07/2013";"Masculino";27
"Mato Grosso do Sul";"Homicídio Doloso";"07/2014";"Feminino";3
"Mato Grosso do Sul";"Homicídio Doloso";"07/2014";"Masculino";42
"Mato Grosso do Sul";"Homicídio Doloso";"07/2014";"Sexo NI";2
"Mato Grosso do Sul";"Homicídio Doloso";"07/2015";"Feminino";2
"Mato Grosso do Sul";"Homicídio Doloso";"07/2015";"Masculino";26
"Mato Grosso do Sul";"Homicídio Doloso";"07/2015";"Sexo NI";1
"Mato Grosso do Sul";"Homicídio Doloso";"07/2016";"Feminino";5
"Mato Grosso do Sul";"Homicídio Doloso";"07/2016";"Masculino";37
"Mato Grosso do Sul";"Homicídio Doloso";"07/2016";"Sexo NI";2
"Mato Grosso do Sul";"Homicídio Doloso";"07/2017";"Feminino";9
"Mato Grosso do Sul";"Homicídio Doloso";"07/2017";"Masculino";41
"Mato Grosso do Sul";"Homicídio Doloso";"07/2017";"Sexo NI";1
"Mato Grosso do Sul";"Homicídio Doloso";"07/2018";"Feminino";6
"Mato Grosso do Sul";"Homicídio Doloso";"07/2018";"Masculino";36
"Mato Grosso do Sul";"Homicídio Doloso";"08/2012";"Feminino";6
"Mato Grosso do Sul";"Homicídio Doloso";"08/2012";"Masculino";46
"Mato Grosso do Sul";"Homicídio Doloso";"08/2013";"Feminino";6
"Mato Grosso do Sul";"Homicídio Doloso";"08/2013";"Masculino";44
"Mato Grosso do Sul";"Homicídio Doloso";"08/2013";"Sexo NI";3
"Mato Grosso do Sul";"Homicídio Doloso";"08/2014";"Feminino";8
"Mato Grosso do Sul";"Homicídio Doloso";"08/2014";"Masculino";39
"Mato Grosso do Sul";"Homicídio Doloso";"08/2014";"Sexo NI";1
"Mato Grosso do Sul";"Homicídio Doloso";"08/2015";"Feminino";4
"Mato Grosso do Sul";"Homicídio Doloso";"08/2015";"Masculino";36
"Mato Grosso do Sul";"Homicídio Doloso";"08/2016";"Feminino";7
"Mato Grosso do Sul";"Homicídio Doloso";"08/2016";"Masculino";35
"Mato Grosso do Sul";"Homicídio Doloso";"08/2017";"Feminino";8
"Mato Grosso do Sul";"Homicídio Doloso";"08/2017";"Masculino";43
"Mato Grosso do Sul";"Homicídio Doloso";"08/2018";"Feminino";2
"Mato Grosso do Sul";"Homicídio Doloso";"08/2018";"Masculino";30
"Mato Grosso do Sul";"Homicídio Doloso";"08/2018";"Sexo NI";2
"Mato Grosso do Sul";"Homicídio Doloso";"09/2012";"Feminino";5
"Mato Grosso do Sul";"Homicídio Doloso";"09/2012";"Masculino";52
"Mato Grosso do Sul";"Homicídio Doloso";"09/2013";"Feminino";8
"Mato Grosso do Sul";"Homicídio Doloso";"09/2013";"Masculino";37
"Mato Grosso do Sul";"Homicídio Doloso";"09/2014";"Feminino";4
"Mato Grosso do Sul";"Homicídio Doloso";"09/2014";"Masculino";43
"Mato Grosso do Sul";"Homicídio Doloso";"09/2014";"Sexo NI";1
"Mato Grosso do Sul";"Homicídio Doloso";"09/2015";"Feminino";5
"Mato Grosso do Sul";"Homicídio Doloso";"09/2015";"Masculino";42
"Mato Grosso do Sul";"Homicídio Doloso";"09/2016";"Feminino";5
"Mato Grosso do Sul";"Homicídio Doloso";"09/2016";"Masculino";24
"Mato Grosso do Sul";"Homicídio Doloso";"09/2017";"Feminino";1
"Mato Grosso do Sul";"Homicídio Doloso";"09/2017";"Masculino";39
"Mato Grosso do Sul";"Homicídio Doloso";"09/2017";"Sexo NI";1
