"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Rio de Janeiro";"Homicídio doloso";"07/2018";"Feminino";28
"Rio de Janeiro";"Homicídio doloso";"07/2018";"Masculino";355
"Rio de Janeiro";"Homicídio doloso";"07/2018";"Sexo NI";27
"Rio de Janeiro";"Homicídio doloso";"08/2018";"Feminino";22
"Rio de Janeiro";"Homicídio doloso";"08/2018";"Masculino";324
"Rio de Janeiro";"Homicídio doloso";"08/2018";"Sexo NI";14
"Rio de Janeiro";"Homicídio doloso";"09/2018";"Feminino";22
"Rio de Janeiro";"Homicídio doloso";"09/2018";"Masculino";348
"Rio de Janeiro";"Homicídio doloso";"09/2018";"Sexo NI";12
"Rio de Janeiro";"Homicídio doloso";"10/2018";"Feminino";28
"Rio de Janeiro";"Homicídio doloso";"10/2018";"Masculino";375
"Rio de Janeiro";"Homicídio doloso";"10/2018";"Sexo NI";23
"Rio de Janeiro";"Homicídio doloso";"11/2018";"Feminino";28
"Rio de Janeiro";"Homicídio doloso";"11/2018";"Masculino";375
"Rio de Janeiro";"Homicídio doloso";"11/2018";"Sexo NI";23
"Rio de Janeiro";"Homicídio doloso";"12/2018";"Feminino";28
"Rio de Janeiro";"Homicídio doloso";"12/2018";"Masculino";375
"Rio de Janeiro";"Homicídio doloso";"12/2018";"Sexo NI";23
